ARTICLE_ID,TITLE,SECTION_TITLE,SECTION_TEXT
742,Apollo 10,Mission highlights,"Shortly after trans-lunar injection Young performed the transposition docking and extraction maneuver separating the Command/Service Module (CSM) from the S-IVB stage turning around and docking its nose to the top of the Lunar Module (LM) before separating from the S-IVB. Apollo 10 was the first mission to carry a color television camera inside the spacecraft and made the first live color TV transmissions from space.

LM ''Snoopy'' containing Stafford and Cernan as inspected by Young after separation from ''Charlie Brown''
After reaching lunar orbit three days later Young remained in the Command Module (CM) ''Charlie Brown'' while Stafford and Cernan entered the LM ''Snoopy'' and flew it separately. The LM crew performed the descent orbit insertion maneuver by firing their descent engine and tested their craft's landing radar as they approached the  altitude where powered descent would begin on Apollo 11. They surveyed the landing site in the Sea of Tranquility then separated the descent stage and fired the ascent engine to return to ''Charlie Brown''. The descent stage was left in orbit but eventually crashed onto the lunar surface because of the Moon's non-uniform gravitational field; its location was not tracked.

Upon descent stage separation and ascent engine ignition the Lunar Module began to roll violently because the crew accidentally duplicated commands into the flight computer which took the LM out of abort mode the correct configuration for this maneuver. The live network broadcasts caught Cernan and Stafford uttering several expletives before regaining control of the LM. Cernan has said he observed the horizon spinning eight times over indicating eight rolls of the spacecraft under ascent engine power. While the incident was downplayed by NASA the roll was just several revolutions from being unrecoverable which would have resulted in the LM crashing into the lunar surface.

The ascent stage was loaded with the amount of fuel it would have had remaining if it had lifted off from the surface and reached the altitude at which the Apollo 10 ascent stage fired. The fueled LM weighed  compared to  for the Apollo 11 LM which made the first landing. Craig Nelson wrote in his book ''Rocket Men'' that NASA took special precaution to ensure Stafford and Cernan would not attempt to make the first landing. Nelson quoted Cernan as saying ""A lot of people thought about the kind of people we were: 'Don't give those guys an opportunity to land 'cause they might!' So the ascent module the part we lifted off the lunar surface with was short-fueled. The fuel tanks weren't full. So had we literally tried to land on the Moon we couldn't have gotten off."" In his own memoir Cernan wrote ""Our lander LM-4...was still too heavy to guarantee safe margins for a moon landing.""

After being jettisoned ''Snoopy's'' ascent stage engine was fired to fuel depletion sending it on a trajectory past the Moon into a heliocentric orbit. The Apollo 11 ascent stage was left in lunar orbit to eventually crash; all subsequent ascent stages were intentionally steered into the Moon to obtain readings from seismometers placed on the surface except for the one on Apollo 13 which did not land but was used as a ""life boat"" to get the crew back to Earth and burned up in Earth's atmosphere.
''Snoopy'''s ascent stage orbit was not tracked after 1969 and its current location is unknown. In 2011 a group of amateur astronomers in the UK started a project to search for it.

Splashdown occurred in the Pacific Ocean on May 26 1969 at 16:52:23 UTC about  east of American Samoa. The astronauts were recovered by  and subsequently flown to Pago Pago International Airport in Tafuna for a greeting reception before being flown on a C-141 cargo plane to Honolulu.

After Apollo 10 NASA required astronauts to choose more ""dignified"" names for their Command and Lunar Modules. This proved unenforceable: Apollo 16 astronauts Young Mattingly and Duke chose ''Casper'' as in Casper the Friendly Ghost for their Command Module name. The idea was to give children a way to identify with the mission by using humor.
"
944,A.S. Roma,History,"
Attilio Ferraris Roma captain during their formative years
A.S. Roma was founded in the summer of 1927 when Italo Foschi initiated the merger of three older Italian Football Championship clubs from the city of Rome; Roman FC SS Alba-Audace and Fortitudo-Pro Roma SGS. The purpose of the merger was to give the Italian capital a strong club to rival that of the more dominant Northern Italian clubs of the time. The only major Roman club to resist the merger was S.S. Lazio because of the intervention of the army General Vaccaro member of the club and executive of Italian Football Federation.
The club played its earliest seasons at the ''Motovelodromo Appio'' stadium before settling in the working-class streets of Testaccio where it built an all-wooden ground ''Campo Testaccio''; this was opened in November 1929. An early season in which Roma made a large mark was the 1930–31 championship the club finished as runners-up behind Juventus. Captain Attilio Ferraris along with Guido Masetti Fulvio Bernardini and Rodolfo Volk were highly important players during this period.

===First title victory and decline===
The Roma of the first scudetto in 1942
After a slump in league form and the departure of high key players Roma eventually rebuilt their squad adding goalscorers such as the Argentine Enrique Guaita. Under the management of Luigi Barbesino the Roman club came close to their first title in 1935–36; finishing just one point behind champions Bologna.

Roma returned to form after being inconsistent for much of the late 1930s; Roma recorded an unexpected title triumph in the 1941–42 season by winning their first ever'' scudetto'' title. The eighteen goals scored by local player Amedeo Amadei were essential to the Alfréd Schaffer coached Roma side winning the title. At the time Italy was involved in World War II and Roma were playing at the ''Stadio del Partito Nazionale Fascista''.

In the years just after the war Roma were unable to recapture their league stature from the early 1940s. Roma finished in the lower half of Serie A for five seasons in a row before eventually succumbing to their only ever relegation to Serie B at the end of the 1950–51 season; around a decade after their championship victory. Under future national team manager Giuseppe Viani promotion straight back up was achieved.

After returning to the Serie A Roma managed to stabilise themselves as a top half club again with players such as Egisto Pandolfini Dino Da Costa and Dane Helge Bronée. Their best finish of this period was under the management of Englishman Jesse Carver when in 1954–55 they finished as runners-up after Udinese who originally finished second were relegated for corruption.
Although Roma were unable to break into the top four during the following decade they did achieve some measure of cup success. Their first honour outside of Italy was recorded in 1960–61 when Roma won the Inter-Cities Fairs Cup by beating Birmingham City 4–2 in the finals. A few years later Roma won their first Coppa Italia trophy in 1963–64 by beating Torino 1–0.

Their lowest point came during the 1964–65 season when manager Juan Carlos Lorenzo announced that the club could not pay its players and was unlikely to be able to afford to travel to Vicenza to fulfil its next fixture. Supporters kept the club going with a fundraiser at the Sistine Theatre and bankruptcy was avoided with the election of a new club president Franco Evangelisti.

Their second Coppa Italia trophy was won in 1968–69 when it competed in a small league like system. Giacomo Losi set a Roma appearance record during 1969 with 450 appearances in all competitions the record he set would last for 38 years.

===Time of mixed fortunes===
Club captain Giacomo Losi with the Inter-Cities Fairs Cup in 1960-61
Roma were able to add another cup to their collection in 1972 with a 3–1 victory over Blackpool in the Anglo-Italian Cup. During much of the 1970s Roma's appearance in the top half of Serie A was sporadic. The best place the club were able to achieve during the decade was third in 1974–75. Notable players who turned out for the club during this period included midfielders Giancarlo De Sisti and Francesco Rocca.

The dawning of a newly successful era in Roma's footballing history was brought in with another Coppa Italia victory they beat Torino on penalties to win the 1979–80 cup. Roma would reach heights in the league which they had not touched since the 1940s by narrowly and controversially finishing as runners-up to Juventus in 1980–81. Former Milan player Nils Liedholm was the manager at the time with players such as Bruno Conti Agostino Di Bartolomei Roberto Pruzzo and Falcão.

The Roma of the second scudetto in 1983
The second ''scudetto'' did not elude Roma for much longer; in 1982–83 the Roman club won the title for the first time in 41 years amidst celebrations in the capital. The following season Roma finished as runners-up in Italy and collected a Coppa Italia title they also finished as runners-up in the European Cup final of 1984. The European Cup final with Liverpool ended in a 1–1 draw with a goal from Pruzzo but Roma eventually lost the penalty shoot-out. Roma's successful run in the 1980s would finish with a runners-up spot in 1985–86 and a Coppa Italia victory beating out Sampdoria 3–2.

After that a comparative decline began in the league one of the few league highs from the following period being a third-place finish in 1987–88. At the start of the 1990s the club was involved in an all-Italian UEFA Cup final where they lost 2–1 to Internazionale in 1991; the same season the club won its seventh Coppa Italia trophy and ended runners-up to Sampdoria in the Supercoppa Italiana. Aside from finishing runners-up to Torino in a Coppa Italia final the rest of the decade was largely sub-par in the history of Roma; especially in the league where the highest they could manage was fourth in 1997–98. The early 1990s also saw the emergence of homegrown striker Francesco Totti who would go on to be an important member of the team and the club's iconic captain.

===In the new millennium===

====2000–2010====
Curva Sud are overjoyed
Roma returned to form in the 2000s starting the decade in great style by winning their third ever Serie A title in 2000–01; the ''scudetto'' was won on the last day of the season by beating Parma 3–1 edging out Juventus by two points. The club's captain Francesco Totti was a large reason for the title victory and he would become one of the main heroes in the club's history going on to break several club records. Other important players during this period included Aldair Cafu Gabriel Batistuta and Vincenzo Montella.

The club attempted to defend the title in the following season but ended as runners-up to Juventus by just one point. This would be the start of Roma finishing as runners-up many times in both Serie A and Coppa Italia during the 2000s; they lost out 4–2 to AC Milan in the Coppa Italia final of 2003 and lost out to Milan again by finishing second in Serie A for the 2003–04 season. The club also re-capitalized several time in 2003–04 season. In November 2003 €37.5 million was injected by ""Roma 2000"" to cover the half-year loss and loss carried from previous year. and again on 30 June for €44.57 million. Through stock market a further €19.850 million of new shares issued and at the year end the share capital was €19.878 million which unchanged . The following season also saw the departure of Walter Samuel for €25 million and Emerson for €28 million which decreased the strength of the squad thus ''Giallorossi'' finished as the eighth place one of the worst of recent season.

Francesco Totti current captain with the 2007–08 Coppa Italia

On 9 July 2006 Roma's Francesco Totti Daniele De Rossi and Simone Perrotta were part of the Italy team that beat France in the 2006 FIFA World Cup final. A Serie A scandal was revealed during 2006 and Roma were one of the teams not involved; after punishments were handed out Roma was re-classified as runners-up for 2005–06; the same season in which they finished second in the Coppa Italia losing to Internazionale. In the two following seasons 2006–07 and 2007–08 Roma finished as Serie A runners-up meaning that in the 2000s Roma have finished in the top two positions more than any other decade in their history Meanwhile in the UEFA Champions League during both of these seasons they reached the quarter-finals before going out to Manchester United. Despite the sloppy start in the 2008–09 Champions League Roma managed to reach the knockout stage ahead of Chelsea in their group thus finishing for the first time in their history as winners of the group stage. The ''Giallorossi'' however would lose to Arsenal in the knockout stage on penalty kicks ending their Champions League campaign.

After a disappointing start to the 2009–10 season Claudio Ranieri replaced Luciano Spalletti as head coach. At the time of the switch Roma lay bottom of the Serie A table after losses to Juventus and Genoa. Despite this setback Roma would later embark on an incredible unbeaten streak of 24 matches in the league – with the last of the 24 being a 2–1 win over rivals Lazio whereby Roma came from 1–0 down at half-time to defeat their city rivals after Ranieri courageously substituted both Totti and De Rossi at the interval. The Giallorossi were on top of the table at one point before a loss to U.C. Sampdoria later in the season. Roma would finish runners-up to Inter yet again in both Serie A and the Coppa Italia. This rounded out a highly successful decade in Roma's history following somewhat mediocre results of the 1990s. During the 2000s Roma had finally recaptured the ''Scudetto'' two Coppa Italia trophies and their first two Supercoppa Italiana titles. Other notable contributions to the club's history have included a return to the Champions League quarter-finals (in the 2006–07 and 2007–08 editions) since 1984 six runners up positions in the league four Coppa Italia finals and three Supercoppa finals – marking Roma's greatest ever decade.

====The ""AS Roma SPV LLC"" era====
In the summer of 2010 the Sensi family agreed to relinquish their control of Roma as part of a debt-settlement agreement. This brought an end to the presidential reign of the Sensi family who had presided over the club since 1993. Until a new owner was appointed Rosella Sensi would continue her directorial role of the club. The 2010–11 season had once again seen Roma start off with mixed fortunes on both a domestic and European level. These included losses against teams like Cagliari Brescia and a 2–0 defeat against Bayern Munich in the group stages of the Champions League a match which saw manager Claudio Ranieri openly criticised by his players. However these were accompanied by victories against Inter and a sensational victory against Bayern in the return fixture which saw Roma fight back from 0–2 down at half-time to emerge as 3–2 winners. Following a series of poor results which saw Roma engage in a winless-streak of five consecutive matches Ranieri resigned as head coach in February 2011 and former striker Vincenzo Montella was appointed as caretaker manager until the end of the season. It was also during this season that Roma icon Francesco Totti scored his 200th Serie A goal against Fiorentina in March 2011 – becoming only the sixth ever player to achieve such a feat.
Francesco Totti  the top goalscorer and the most capped player in the Roma's history.
On 16 April 2011 the takeover contract was closed with an American investment group led by Thomas R. DiBenedetto with James Pallotta Michael Ruane and Richard D'Amore as partners. DiBenedetto became the 22nd president of the club serving from 27 September 2011 to 27 August 2012 and was succeeded by Pallotta. The new intermediate holding company NEEP Roma Holding was 60% owned by American's ""AS Roma SPV LLC"" and the rest (40%) was retained by the creditor of Sensi UniCredit; NEEP in turn owned all shares held previously by Sensi (about 67%) with the rest free float in the stock market. UniCredit later disinvested NEEP Roma Holding to sold to ""AS Roma SPV LLC"" and Pallotta.

The new ownership immediately went into effect by making significant changes in the club hiring Walter Sabatini as director of football and former Spanish international and Barcelona B coach Luis Enrique as manager. The first high-profile player signings from the duo were attacking midfielder Érik Lamela from River Plate forward Bojan from Barcelona goalkeeper Maarten Stekelenburg from Ajax and unattached defender Gabriel Heinze. The club also sold and released defender John Arne Riise goalkeeper Doni and forwards Jérémy Ménez and Mirko Vučinić. At the financial level the company had recapitalized for more than €100 million the last recapitalization occurring in the early 2000s.

Roma however was eliminated from 2011–12 UEFA Europa League play-off round. After the formal takeover on 18 August Roma bought forward Dani Osvaldo midfielders Miralem Pjanić and Fernando Gago and defender Simon Kjær as well as youngster Fabio Borini which cost the club more than €40 million. In 2012 Pallotta became the new president.

The 2012-13 pre-season started with the June hiring of former manager Zdeněk Zeman. Zeman replaced Luis Enrique who resigned at the end of the 2011–12 season. Enrique's lone season reign had seen the disappointing loss to Slovan Bratislava in the Europa League as well as the inability to qualify for international competitions for the 2012–13 season. Roma eventually finished 7th losing the Europa League chase to rivals Lazio Napoli and Internazionale. Zeman brought back his high-scoring 4–3–3 formation and his hard working ethic which successfully guided former team Pescara to the Serie A. He was however sacked on 2 February 2013. He was replaced by caretaker manager Aurelio Andreazzoli who's reign saw the continuation of a disappointing season with the team ending up in 6th place in Serie A whilst also losing 1–0 to rivals Lazio in the Coppa Italia final. As a result Roma missed out on European competition for the second season in a row. 
Spalletti with Roma in 2009
On 12 June 2013 Pallotta announced that Rudi García had been appointed the new manager of Roma. He enjoyed a fantastic start to his Roma career winning his first ten consecutive games (an all-time Serie A record) including a 2–0 derby win against Lazio a 0–3 victory away to Inter and a 2–0 home win over title rivals Napoli. During this run Roma scored 24 times while conceding just once away to Parma. The 2013–14 season saw one of Roma's best ever in Serie A the club tallying an impressive 85 points and finishing second to Juventus who won the league with a record-breaking 102 points. Roma's defense was significantly better than in previous seasons with only 25 goals conceded and a total of 21 clean sheets including nine in their first ten matches.

In 2014-15 Roma finished second behind Juventus for the second consecutive season after a poor run of form in 2015. At the end of season the club was sanctioned for lose making and breaking UEFA Financial Fair Play Regulations.

On 13 January 2016 Garcia was sacked after a run of one win in seven Serie A games. Luciano Spalletti was appointed manager of Roma for his second spell. On 21 February Totti publicly criticised Spalletti due to his own lack of playing-time since returning from injury; as a result he was subsequently dropped by Spalletti for Roma's 5–0 win over Palermo with the decision causing an uproar among the fans and in the media. After their initial disagreements Spalletti began to use Totti as an immediate impact substitute which proved to be an effective decision as the Roma number 10 rediscovered his form and contributed with four goals and an assist after coming off the bench in five consecutive Serie A games; as a result Spalletti was able to lead Roma from a mid-table spot to a third-place finish in Serie A clinching the UEFA Champions League play-off spot.

During summer 2016 Roma lost star midfielder Miralem Pjanić to rivals Juventus in order to improve its financial position.

On 13 June 2017 Eusebio Di Francesco was appointed as Roma manager replacing Spalletti who left for Inter.
"
193,Acute disseminated encephalomyelitis,Acute hemorrhagic leukoencephalitis,"
Acute hemorrhagic leukoencephalitis (AHL or AHLE) also known as acute necrotizing encephalopathy (ANE) acute hemorrhagic encephalomyelitis (AHEM) acute necrotizing hemorrhagic leukoencephalitis (ANHLE) Weston-Hurst syndrome or Hurst's disease is a hyperacute and frequently fatal form of ADEM. AHL is relatively rare (less than 100 cases have been reported in the medical literature ) it is seen in about 2% of ADEM cases and is characterized by necrotizing vasculitis of venules and hemorrhage and edema. Death is common in the first week and overall mortality is about 70% but increasing evidence points to favorable outcomes after aggressive treatment with corticosteroids immunoglobulins cyclophosphamide and plasma exchange. About 70% of survivors show residual neurological deficits but some survivors have shown surprisingly little deficit considering the magnitude of the white matter affected.

This disease has been occasionally associated with ulcerative colitis and Crohn's disease malaria septicemia associated with immune complex deposition methanol poisoning and other underlying conditions. Also anecdotal association with MS has been reported
"
990,Conservation-restoration of cultural heritage,Associations and professional organizations,"
Societies devoted to the care of cultural heritage have been in existence around the world for many years. One early example is the founding in 1877 of the Society for the Protection of Ancient Buildings in Britain to protect the built heritage this society continues to be active today.

The built heritage was at the forefront of the growth of member based organizations in the United States. Preservation Virginia founded in Richmond in 1889 as the Association for the Preservation of Virginia Antiquities was the United States' first statewide historic preservation group.

Today professional conservators join and take part in the activities of numerous conservation associations and professional organizations with the wider field and within their area of specialization.

These organizations exist to ""support the conservation professionals who preserve our cultural heritage"".

This involves upholding professional standards promoting research and publications providing educational opportunities and fostering the exchange of knowledge among cultural conservators allied professionals and the public.
"
85,Albert Sidney Johnston,Legacy and honors,"Johnston's tomb in the Texas State Cemetery in Austin Texas
Sculpted by Elisabet Ney

Johnston was survived by his wife Eliza and six children. His wife and five younger children including one born after he went to war chose to live out their days at home in Los Angeles with Eliza's brother Dr. John Strother Griffin. Johnston's eldest son Albert Sidney Jr. (born in Texas) had already followed him into the Confederate States Army.  In 1863 after taking home leave in Los Angeles Albert Jr. was on his way out of San Pedro harbor on a ferry.  While a steamer was taking on passengers from the ferry a wave swamped the smaller boat causing its boilers to explode. Albert Jr. was killed in the accident.

Killed in action General Johnston received the highest praise ever given by the Confederate government; accounts were published on December 20 1862 and thereafter in the Los Angeles ''Star'' of his family's hometown. Johnston Street Hancock Street and Griffin Avenue each in northeast Los Angeles are named after the general and his family who lived in the neighborhood.

Johnston was initially buried in New Orleans. In 1866 a joint resolution of the Texas Legislature was passed to have his body moved and reinterred at the Texas State Cemetery in Austin. The re-interment occurred in 1867. Forty years later the state appointed Elisabet Ney to design a monument and sculpture of him to be erected at the grave site.

The Texas Historical Commission has erected a historical marker near the entrance of what was once Johnston's plantation. An adjacent marker was erected by the San Jacinto Chapter of the Daughters of The Republic of Texas and the Lee Roberts and Davis Chapter of the United Daughters of the Confederate States of America.

The University of Texas at Austin has recognized Johnston with a statue on the South Mall.
"
579,Amati,In popular culture,"* Patrick O'Brian's fictional British sea captain Jack Aubrey is described as owning a ""fiddle far above his station an Amati no less"" in ''The Surgeon's Mate.'' In the ''Wine-Dark Sea'' book fifteen of the series Stephen Maturin now has a Girolamo Amati and Aubrey a Guarneri.
* In Satyajit Ray's short story ''Bosepukure Khoonkharapi'' the fictional detective Feluda deduces that a character was murdered because he owned an Amati violin.
* In the manga and anime series Gunslinger Girl Henrietta carries an Amati violin case. It contains a Fabrique Nationale P90 when on a mission otherwise it contains a real violin.
* On the radio show ''Yours Truly Johnny Dollar'' the January 1956 episode ""The Ricardo Amerigo Matter"" centered on a stolen Amati violin.
"
392,Alligatoridae,True alligators,"The lineage including alligators proper (Alligatorinae) occurs in the fluvial deposits of the age of the Upper Chalk in Europe where they did not die out until the Pliocene age. The true alligators are today represented by two species ''A. mississippiensis'' in the southeastern United States which can grow to 15 ft (4.6 m) and weigh 1000 lbs (453 kg) and the small ''A. sinensis'' in the Yangtze River China which grows to an average of 5 ft (1.5 m). Their name derives from the Spanish ''el lagarto'' which means ""the lizard"".
"
649,Ægir,Description,"The ''Nafnaþulur'' attached to the ''Prose Edda'' list Ægir as a giant. Richard Cleasby and Guðbrandur Vigfússon saw his name as pre-Norse derived from an ancient Indo-European root.
"
313,Actaeon,External links,"
*  The Warburg Institute Iconographic Database: ca 230 images of Actaeon
*  Actaeon by Fabio F. Centamore






"
329,Advanced Encryption Standard,Notes,"
"
301,Asa,Places,"* Asa Iran in South Khorasan Province
* Asa Kwara a Local Government Area in Kwara State Nigeria
* Asa River (disambiguation) multiple rivers with the name
"
984,Minute and second of arc,Uses,"
===Astronomy===
Comparison of angular diameter of the Sun Moon planets and the International Space Station. True representation of the sizes is achieved when the image is viewed at a distance of 103 times the width of the ""Moon: max."" circle. For example if the ""Moon: max."" circle is 10 cm wide on a monitor viewing it from 10.3 m away will show true representation of the sizes.

Since antiquity the arcminute and arcsecond have been used in astronomy. In the ecliptic coordinate system latitude (β) and longitude (λ); in the horizon system altitude (Alt) and azimuth (Az); and in the equatorial coordinate system declination (δ) are all measured in degrees arcminutes and arcseconds. The principal exception is Right ascension (RA) in equatorial coordinates which is measured in time units of hours minutes and seconds.

The arcsecond is also often used to describe small astronomical angles such as the angular diameters of planets (e.g. the angular diameter of Venus which varies between 10″ and 60″) the proper motion of stars the separation of components of binary star systems and parallax the small change of position of a star in the course of a year or of a solar system body as the Earth rotates. These small angles may also be written in milliarcseconds (mas) or thousandths of an arcsecond. The unit of distance the parsec named from the '''par'''allax of one arc'''sec'''ond was developed for such parallax measurements. It is the distance at which the mean radius of the Earth's orbit would subtend an angle of one arcsecond.

The ESA astrometric space probe Gaia is hoped to measure star positions to 20 microarcseconds (µas) when it begins producing catalog positions sometime after 2016. There are about 1.3 trillion µas in a turn. Currently the best catalog positions of stars actually measured are in terms of milliarcseconds by the U.S. Naval Observatory.

Apart from the Sun the star with the largest angular diameter from Earth is R Doradus a red supergiant with a diameter of 0.05 arcsecond. Because of the effects of atmospheric seeing ground-based telescopes will smear the image of a star to an angular diameter of about 0.5 arcsecond; in poor seeing conditions this increases to 1.5 arcseconds or even more. The dwarf planet Pluto has proven difficult to resolve because its angular diameter is about 0.1 arcsecond.

Space telescopes are not affected by the Earth's atmosphere but are diffraction limited. For example the Hubble space telescope can reach an angular size of stars down to about 0.1″. Techniques exist for improving seeing on the ground. Adaptive optics for example can produce images around 0.05 arcsecond on a 10 m class telescope.

===Cartography===

Minutes (′) and seconds (″) of arc are also used in cartography and navigation. At sea level one minute of arc along the equator or a meridian (indeed any great circle) equals exactly one geographical mile along the Earth's equator or approximately one nautical mile (1852 meters or ≈1.15078 statute miles). A second of arc one sixtieth of this amount is roughly 30 meters or 100 feet. The exact distance varies along meridian arcs because the figure of the Earth is slightly oblate (bulges a third of a percent at the equator).

Positions are traditionally given using degrees minutes and seconds of arcs for latitude the arc north or south of the equator and for longitude the arc east or west of the Prime Meridian. Any position on or above the Earth's reference ellipsoid can be precisely given with this method. However when it is inconvenient to use  base-60 for minutes and seconds positions are frequently expressed as decimal fractional degrees to an equal amount of precision. Degrees given to three decimal places ( of a degree) have about  the precision of degrees-minutes-seconds ( of a degree) and specify locations within about 120 meters or 400 feet.

===Property cadastral surveying===

Related to cartography property boundary surveying using the metes and bounds system relies on fractions of a degree to describe property lines' angles in reference to cardinal directions. A boundary ""mete"" is described with a beginning reference point the cardinal direction North or South followed by an angle less than 90 degrees and a second cardinal direction and a linear distance. The boundary runs the specified linear distance from the beginning point the direction of the distance being determined by rotating the first cardinal direction the specified angle toward the second cardinal direction. For example ''North 65° 39′ 18″ West 85.69 feet'' would describe a line running from the starting point 85.69 feet in a direction 65° 39′ 18″ (or 65.655°) away from north toward the west.

===Firearms===
The arcminute is commonly found in the firearms industry and literature particularly concerning the accuracy of rifles though the industry refers to it as '''minute of angle''' (MOA). It is especially popular with shooters familiar with the imperial measurement system because 1 MOA subtends 1.047 inches at 100 yards (approximately 3 cm at 100 m) a traditional distance on U.S. target ranges. The subtension is linear with the distance for example 500 yards = 5.235 inches and 1000 yards = 10.47 inches. Since many modern telescopic sights are adjustable in half () quarter () or eighth () MOA increments also known as ''clicks'' zeroing and adjustments are made by counting 2 4 and 8 clicks per MOA respectively.

For example if the point of impact is 3 inches high and 1.5 inches left of the point of aim at 100 yards (which for instance could be measured by using a spotting scope with a calibrated reticle) the scope needs to be adjusted 3 MOA down and 1.5 MOA right. Such adjustments are trivial when the scope's adjustment dials have a MOA scale printed on them and even figuring the right number of clicks is relatively easy on scopes that ''click'' in fractions of MOA. This makes zeroing and adjustments much easier:

* To adjust a  MOA scope 3 MOA down and 1.5 MOA right the scope needs to be adjusted 3 × 2 = 6 clicks down and 1.5 x 2 = 3 clicks right
* To adjust a  MOA scope 3 MOA down and 1.5 MOA right the scope needs to be adjusted 3 x 4 = 12 clicks down and 1.5 × 4 = 6 clicks right
* To adjust a  MOA scope 3 MOA down and 1.5 MOA right the scope needs to be adjusted 3 x 8 = 24 clicks down and 1.5 × 8 = 12 clicks right

Another common system of measurement in firearm scopes is the milliradian. Zeroing a mil based scope is easy for users familiar with base ten systems. The most common adjustment value in mil based scopes is  mil (which approximates  MOA).

* To adjust a  mil scope 0.9 mil down and 0.4 mil right the scope needs to be adjusted 9 clicks down and 4 clicks right (which equals approximately 3 and 1.5 MOA respectively).

One thing to be aware of is that some MOA scopes including some higher-end models are calibrated such that an adjustment of 1 MOA on the scope knobs corresponds to exactly 1 inch of impact adjustment on a target at 100 yards rather than the mathematically correct 1.047"". This is commonly known as the Shooter's MOA (SMOA) or Inches Per Hundred Yards (IPHY). While the difference between one true MOA and one SMOA is less than half of an inch even at 1000 yards this error compounds significantly on longer range shots that may require adjustment upwards of 20-30 MOA to compensate for the bullet drop. If a shot requires an adjustment of 20 MOA or more the difference between true MOA and SMOA will add up to 1 inch or more. In competitive target shooting this might mean the difference between a hit and a miss.

The physical group size equivalent to ''m'' minutes of arc can be calculated as follows: group size = tan() × distance. In the example previously given for 1 minute of arc and substituting 3600 inches for 100 yards 3600 tan() ≈ 1.047 inches. In metric units 1 MOA at 100 meters ≈ 2.908 centimeters.

Sometimes a precision firearm's accuracy will be measured in MOA. This simply means that under ideal conditions i.e. no wind match-grade ammo clean barrel and a vise or a benchrest used to eliminate shooter error the gun is capable of producing a group of shots whose center points (center-to-center) fit into a circle the average diameter of circles in several groups can be subtended by that amount of arc. For example a ''1 MOA rifle'' should be capable under ideal conditions of shooting an average 1-inch groups at 100 yards. Most higher-end rifles are warrantied by their manufacturer to shoot under a given MOA threshold (typically 1 MOA or better) with specific ammunition and no error on the shooter's part. For example Remington's M24 Sniper Weapon System is required to shoot 0.8 MOA or better or be rejected.

Rifle manufacturers and gun magazines often refer to this capability as ''sub-MOA'' meaning it shoots under 1 MOA. This means that a single group of 3 to 5 shots at 100 yards or the average of several groups will measure less than 1 MOA between the two furthest shots in the group i.e. all shots fall within 1 MOA. If larger samples are taken (i.e. more shots per group) then group size typically increases however this will ultimately average out. If a rifle was truly a 1 MOA rifle it would be just as likely that two consecutive shots land exactly on top of each other as that they land 1 MOA apart. For 5 shot groups based on 95% confidence a rifle that normally shoots 1 MOA can be expected to shoot groups between 0.58 MOA and 1.47 MOA although the majority of these groups will be under 1 MOA. What this means in practice is if a rifle that shoots 1-inch groups on average at 100 yards shoots a group measuring 0.7 inches followed by a group that is 1.3 inches this is not statistically abnormal.

The Metric System counterpart of the MOA is the milliradian or '''mil''' being equal to one 1000th of the target range laid out on a circle that has the observer as centre and the target range as radius. The number of mils on a full such circle therefore always is equal to 2 ×  × 1000 regardless the target range. Therefore 1 MOA ≈ 0.2908 mil. This means that an object which spans 1 mil on the reticle is at a range that is in meters equal to the object's size in millimeters (e.g. an object of 100 mm @ 1 Milrad is 100 meters away). So there is no conversion factor required contrary to the MOA system.  A reticle with markings (hashes or dots) spaced with a one mil apart (or a fraction of a mil) are collectively called a mil reticle. If the markings are round they are called '''mil-dots'''.

In the table below conversions from mil to metric values are exact (e.g. 0.1 mil equals exactly 1 cm at 100 meters) while conversions of minutes of arc to both metric and imperial values are approximate.

Comparison of milliradian (mil) and minute of arc (moa).



* 1′ at 100 yards equals 22619/ 21600 = 1.04717593 in ≈ 1.047 inches
* 1′ ≈ 0.291 mil (or 2.91 cm at 100 m approximately  3 cm at 100 m)
* 1 mil ≈ 3.44′ so  mil ≈ ′
* 0.1 mil equals exactly 1 cm at 100 m or approximately 0.36 inches at 100 yards

===Human vision===
In humans 20/20 vision is the ability to resolve a spatial pattern separated by a visual angle of one minute of arc.
A 20/20 letter subtends 5 minutes of arc total.

===Materials===
The deviation from parallelism between two surfaces for instance in optical engineering is usually measured in arcminutes or arcseconds.
In addition arcseconds are sometimes used in rocking curve (ω-scan) x ray diffraction measurements of high-quality epitaxial thin films.
"
